"Date(UTC)","UnixTimeStamp","Value"
"7/30/2015","1438214400","0"
"7/31/2015","1438300800","0"
"8/1/2015","1438387200","0"
"8/2/2015","1438473600","0"
"8/3/2015","1438560000","0"
"8/4/2015","1438646400","0"
"8/5/2015","1438732800","0"
"8/6/2015","1438819200","0"
"8/7/2015","1438905600","37318413511279304835"
"8/8/2015","1438992000","68099970071856826797"
"8/9/2015","1439078400","14098949703205590944"
"8/10/2015","1439164800","31165144438378735884"
"8/11/2015","1439251200","11311448586019755030"
"8/12/2015","1439337600","32586992404377741650"
"8/13/2015","1439424000","24929169109943118841"
"8/14/2015","1439510400","14354834112827458118"
"8/15/2015","1439596800","8836593028046850811"
"8/16/2015","1439683200","6677237924905556046"
"8/17/2015","1439769600","7642811839634956979"
"8/18/2015","1439856000","11906071340176042601"
"8/19/2015","1439942400","15430950669480218002"
"8/20/2015","1440028800","6855566942706630722"
"8/21/2015","1440115200","7855041724705318491"
"8/22/2015","1440201600","42547171829582457556"
"8/23/2015","1440288000","8049767672901801716"
"8/24/2015","1440374400","8876285419798610754"
"8/25/2015","1440460800","8259755825110535782"
"8/26/2015","1440547200","7447729278556984663"
"8/27/2015","1440633600","8670963042887940562"
"8/28/2015","1440720000","9925148370505206658"
"8/30/2015","1440892800","5634173742432616856"
"8/29/2015","1440806400","5507451526061552074"
"8/31/2015","1440979200","7424533814378986634"
"9/1/2015","1441065600","7843769855894396934"
"9/2/2015","1441152000","8153735331051015790"
"9/3/2015","1441238400","6970025674099678731"
"9/4/2015","1441324800","9733856361469302860"
"9/5/2015","1441411200","9141228323603367680"
"9/6/2015","1441497600","8055487734515995632"
"9/7/2015","1441584000","9256422395866533683"
"9/8/2015","1441670400","10379926302044415805"
"9/9/2015","1441756800","9840601069163061227"
"9/10/2015","1441843200","7925807170796993218"
"9/11/2015","1441929600","8876728152679961379"
"9/12/2015","1442016000","11354833193505237873"
"9/13/2015","1442102400","9578725673919106360"
"9/14/2015","1442188800","9901548419395161346"
"9/15/2015","1442275200","8426997145283307063"
"9/16/2015","1442361600","15146617077844793236"
"9/17/2015","1442448000","8556523791455505710"
"9/18/2015","1442534400","11834821066198469252"
"9/19/2015","1442620800","7982204372925467553"
"9/20/2015","1442707200","10969645471755072320"
"9/21/2015","1442793600","10180741940942933773"
"9/22/2015","1442880000","11404145175916603648"
"9/23/2015","1442966400","10700267104792060772"
"9/24/2015","1443052800","10319506266501325064"
"9/25/2015","1443139200","9836594916126598067"
"9/26/2015","1443225600","9289146478621032364"
"9/27/2015","1443312000","8423870450444848099"
"9/28/2015","1443398400","9272346609307110334"
"9/29/2015","1443484800","8877328420749419272"
"9/30/2015","1443571200","8385327115721004019"
"10/2/2015","1443744000","9765296662850670640"
"10/1/2015","1443657600","8767949463445914933"
"10/3/2015","1443830400","9791648364458627976"
"10/4/2015","1443916800","9431925785897953000"
"10/5/2015","1444003200","11486773507230090791"
"10/6/2015","1444089600","9995299953552863558"
"10/7/2015","1444176000","12182989920710770554"
"10/8/2015","1444262400","11972933368342351096"
"10/9/2015","1444348800","11309218384317883884"
"10/10/2015","1444435200","11382811617053815692"
"10/11/2015","1444521600","8998794599150719656"
"10/12/2015","1444608000","10703807320817251298"
"10/13/2015","1444694400","12323248799642253340"
"10/14/2015","1444780800","11831998521079002721"
"10/15/2015","1444867200","18870343861669733508"
"10/16/2015","1444953600","21179446545648124480"
"10/17/2015","1445040000","12291462445798012724"
"10/18/2015","1445126400","13113012602069783055"
"10/19/2015","1445212800","11699219139603278508"
"10/20/2015","1445299200","11527019798769716636"
"10/21/2015","1445385600","10155857734674392412"
"10/22/2015","1445472000","13200504837911974188"
"10/23/2015","1445558400","13747941391847577549"
"10/24/2015","1445644800","10696638217152165404"
"10/25/2015","1445731200","9079512126157535658"
"10/26/2015","1445817600","10773267121614423564"
"10/27/2015","1445904000","18902897578375482359"
"10/28/2015","1445990400","10898696630107062428"
"10/29/2015","1446076800","12550751739957046206"
"10/30/2015","1446163200","13466321660416294744"
"10/31/2015","1446249600","15482425600544887284"
"11/1/2015","1446336000","16170261068417536249"
"11/2/2015","1446422400","10396013972700378420"
"11/3/2015","1446508800","12240350989948539726"
"11/4/2015","1446595200","9392856950587456979"
"11/5/2015","1446681600","10593890524409684909"
"11/6/2015","1446768000","15936270156556764007"
"11/7/2015","1446854400","32079919793349356329"
"11/8/2015","1446940800","29526878882442981964"
"11/9/2015","1447027200","11263102919443230382"
"11/10/2015","1447113600","15351192628299204876"
"11/11/2015","1447200000","23076791328155836314"
"11/12/2015","1447286400","25889101201769871285"
"11/13/2015","1447372800","14583302464865801953"
"11/14/2015","1447459200","18534033511704232124"
"11/15/2015","1447545600","11483974092635215057"
"11/16/2015","1447632000","10269635973055744198"
"11/17/2015","1447718400","9596829650575912999"
"11/18/2015","1447804800","10321475397415639389"
"11/19/2015","1447891200","15863939513515044891"
"11/20/2015","1447977600","11986899241936797512"
"11/21/2015","1448064000","11244910062602561332"
"11/22/2015","1448150400","11241715326286604797"
"11/23/2015","1448236800","13316084717852136228"
"11/24/2015","1448323200","12966491027158747161"
"11/25/2015","1448409600","12459630991672277588"
"11/26/2015","1448496000","9307010479992449281"
"11/27/2015","1448582400","9399192619419860582"
"11/28/2015","1448668800","14567130571469754409"
"11/29/2015","1448755200","9090792117113711272"
"11/30/2015","1448841600","20815751537737421266"
"12/1/2015","1448928000","13074388944575777609"
"12/2/2015","1449014400","11438122532174238399"
